track_name,track_id,artist_name,album_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
One By One - Original,5WeWFdqqVcyVEfUMTWHrQa,"TJ Cases, Kat Blu",2 Step UK Garage 1997-2000,UK garage,0.769,0.597,7,-8.371,0,0.0603,0.0666,0.247,0.0346,0.972,135.984
Give You Up (feat. IDA),207bcdKQ4QKuTo16OXRO1C,"Original Dodger, IDA",Momentum,UK garage,0.769,0.869,7,-6.015,1,0.0559,0.00441,0.0197,0.0294,0.88,129.995
Come Over (feat. Anne-Marie & Tion Wayne),4eVU4U063iMLFJFXb9kzkb,"Rudimental, Anne-Marie, Tion Wayne",Come Over (feat. Anne-Marie & Tion Wayne),UK garage,0.797,0.672,8,-6.135,1,0.0477,0.0442,0.0027,0.149,0.561,131.978
Summertime (feat. Craig David),1x4kSaQiQUDuKDnybzNUgl,"KURUPT FM, Craig David",Summertime (feat. Craig David),UK garage,0.545,0.872,3,-4.409,1,0.166,0.0395,0.0,0.394,0.799,98.069
Triplets II,1cRRXblhbbbfPA22fLs6bA,Sticky,UK Garage Beats V2,UK garage,0.795,0.728,1,-5.487,1,0.0509,0.000978,0.748,0.137,0.658,132.949
All I Want - Sunship Radio Edit,0tWdRXWDUd1gWLthXgk6Dp,"Mis-Teeq, Sunship",Mis-Teeq,UK garage,0.795,0.919,9,-3.07,0,0.0835,0.37,0.00863,0.189,0.96,134.079
Try Me Out - Let Me Lick It,09WSDEUOZeRRtPf7ypQVoo,"Sunship, Anita Kelsey",Try Me Out,UK garage,0.815,0.531,7,-6.759,1,0.181,0.0022,0.0382,0.0711,0.96,131.825
Little Man - Exemen Works,0PxXQz4Im41YdDi0J3kPCv,"Sia, Wookie, Exemen",Healing is Difficult (10th Anniversary Edition) (Deluxe),UK garage,0.791,0.616,9,-9.352,1,0.202,0.00407,0.015,0.118,0.616,130.028
Be Ur Girl,7MfwLx4TTA8MBih0tDU0iP,Dr.Oscillator,Party Prescription E.P,UK garage,0.587,0.898,2,-5.19,1,0.0781,0.017,7.19e-05,0.674,0.391,140.004
Thong Song - Artful Dodger Remix,7EwfD7srjZaN8bMx8c6BkR,"Sisqo, M.C. Alastair",The Ultimate Workout Collection: Keep On Running,UK garage,0.778,0.75,1,-5.377,0,0.066,0.0108,0.000199,0.0477,0.966,133.975
Dreaming,0nO2WPTc3UY51COGw27Dls,"KURUPT FM, Jaykae, MIST",Dreaming,UK garage,0.745,0.839,11,-4.436,1,0.0527,0.151,4.9e-05,0.132,0.851,132.004
Took All The Love,0MtlEwG8pcjFhZ7wtPBmAk,Vital Techniques,Took All The Love,UK garage,0.714,0.929,11,-3.011,1,0.037,0.081,0.477,0.0423,0.888,133.983
Sincere - Re-Cue'D,3ttQGouvKMlbI2bTgAMWup,"MJ Cole, Nova Caspar, jaydee",Sincere (Deluxe),UK garage,0.83,0.784,1,-8.248,1,0.135,0.216,0.272,0.125,0.719,132.661
Pain,7CIERzyqIwLVKGp00YbHRO,PinkPantheress,Pain,UK garage,0.829,0.617,1,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605
Body Groove - Mix Mc Version,56UNoQz1kXeBZeqmQbFpYe,"Architechs, Nay Nay",Body Groove,UK garage,0.872,0.707,1,-7.911,1,0.0513,0.0362,5.59e-06,0.27,0.92,132.955
Just for Me,6OTKVgVpVaVjhRLYizPJKA,PinkPantheress,Just for me,UK garage,0.796,0.625,0,-7.218,1,0.0645,0.653,0.00348,0.187,0.641,133.035
Stay2Myself,6tJ3cmkP1bD63bZ7RwBWuM,Tunji Ige,Stay2Myself,UK garage,0.829,0.616,7,-8.729,1,0.101,0.147,0.0929,0.117,0.58,132.014
Sunshine - Wookie Main Mix,5q1hpdlf8ncJUhKLyjHoHB,"GABRIELLE, Wookie",Rise,UK garage,0.774,0.866,3,-7.651,1,0.0546,0.0599,0.53,0.0867,0.814,137.167
Find My Way Home,1yIi7qRdybE4yY1V0YdOKG,Sammy Virji,Find My Way Home,UK garage,0.726,0.728,6,-7.381,1,0.259,0.116,5.66e-05,0.061,0.504,136.09
Did You See - Conducta Remix,2V7CZkJU3Y6IMq1L5IsdKP,"J Hus, Conducta",Did You See (Conducta Remix),UK garage,0.849,0.816,11,-5.59,0,0.0623,0.0326,0.000146,0.0327,0.962,125.003
i've been here without me,4XxJvwQmDUuuh5sQdwXbna,Sullii,i've been here without me,UK garage,0.71,0.761,2,-5.334,1,0.0465,0.382,4.2e-06,0.268,0.625,135.084
Up De Flats,1VZqn2CpJjkewNFpZj488S,Gemma Dunleavy,Up De Flats,UK garage,0.761,0.747,6,-6.273,0,0.0529,0.318,0.074,0.455,0.848,122.995
If I Got Rich - Soulecta Remix,1rIwPxtsXIBLF7LGnItxYV,"Mayfair Lady, Soulecta",If I Got Rich (Soulecta Remix),UK garage,0.739,0.802,9,-6.291,0,0.0552,0.0155,2.95e-05,0.101,0.509,132.976
Hideout,1YHffsSjHbAFAsvwCD3U8A,"Bru-C, Bad Boy Chiller Crew",Hideout,UK garage,0.854,0.902,9,-3.747,0,0.0626,0.565,0.000446,0.132,0.864,134.003
Just 4 Me,5teVEYKfZcjAE7YhO7spWd,Nadia Stone,Just 4 Me,UK garage,0.63,0.838,11,-7.378,0,0.0531,0.101,0.000361,0.222,0.613,139.89
Spice Up My Life,3A7b8nzz8u3Lll9wUyEwPe,"Sammy Virji, Paige Eliza",Spice Up My Life,UK garage,0.775,0.818,1,-4.095,1,0.146,0.177,6.98e-05,0.173,0.5,132.075
The Streets,1P0BChGhlsyPjXStFpxfb5,Sammy Virji,Spice Up My Life,UK garage,0.879,0.974,0,-3.3,0,0.263,0.00143,0.924,0.461,0.889,136.049
Life - 2 Step Mix,4B6LRSFIVsEvKNmEsUmb96,"Sunship, Suncycle",Missing in (East) Acton,UK garage,0.832,0.803,1,-6.826,1,0.0794,0.13,0.000265,0.0624,0.692,133.998
"8 Days a Week (Sunship 12"" Edit)",7yDCxPQWcFHzduTM1tV3AU,"Sweet Female Attitude, Sunship",In Person,UK garage,0.864,0.722,1,-5.161,1,0.0741,0.235,0.000363,0.95,0.973,134.017
Bebey,6K8SmtE4jbK0E0MHOzWIIs,Keeya Keys,Bebey,UK garage,0.772,0.681,11,-7.666,0,0.365,0.0729,0.0,0.348,0.771,67.451
Still On Your Side - Artful Dodger Remix,1R42jFeKiEHOHvD2g4n7YG,"BBMAK, Artful Dodger",Artful Dodger Meets BBMAK - Still On Your Side,UK garage,0.831,0.485,0,-10.126,0,0.169,0.126,0.47,0.0393,0.931,132.476
Neighbourhood - Radio Mix,6J6QyLMIoToFr1VvDpt8jo,Zed Bias,Neighbourhood,UK garage,0.774,0.867,0,-8.164,1,0.342,0.345,0.000544,0.366,0.703,129.691
Dancing For Heaven,249LcG0soIGjPIYEktcSou,Todd Edwards,Prima Edizione,UK garage,0.866,0.932,6,-4.32,1,0.0581,0.00851,0.909,0.0628,0.984,131.993
DISTANCE - m-flo remix,55KHoVQ7BKsC3quIlZ5rMO,"Hikaru Utada, m-flo",FINAL DISTANCE,UK garage,0.696,0.851,10,-5.265,1,0.198,0.133,0.0,0.285,0.715,131.946
"Tell Me (feat. Clean Bandit, Wes Nelson, Stefflon Don & Unknown T)",2Ozl64tN9EPrmy7DK2aI8p,"Steel Banglez, Clean Bandit, Wes Nelson, Stefflon Don, Unknown T","Tell Me (feat. Clean Bandit, Wes Nelson, Stefflon Don & Unknown T)",UK garage,0.821,0.841,6,-6.06,1,0.165,0.0743,0.0,0.128,0.734,130.096
Interlude,4aDtKCOC2TwiY4Re4cDHLL,Higgo,Get Right Inside (Compiled & Mixed by Kastle),UK garage,0.709,0.65,0,-5.363,0,0.0613,0.209,0.144,0.182,0.619,130.098
Scrappy,6BfGVU213AQzBv39g2IzOU,Wookie,Wookie (Deluxe Edition),UK garage,0.785,0.948,7,-7.352,0,0.0463,0.0186,0.888,0.102,0.461,130.125
Never Ever - Booker T's Vocal Mix,6AaEGAXkJy9Ie8PH7Jcp10,"All Saints, Booker-T",The Remix Album,UK garage,0.771,0.951,1,-7.674,1,0.0537,0.00142,0.0465,0.323,0.864,128.284
Crush,1SZU8VVD6rpnvbcVZBDPJb,Higgo,Crush,UK garage,0.67,0.83,8,-6.964,0,0.0564,0.0746,6.8e-05,0.0954,0.463,133.009
care 4,2LNzaAAzQMSp6TGpFi3oIB,"Banditt, Sempra",care 4,UK garage,0.819,0.638,8,-7.887,0,0.166,0.148,0.131,0.125,0.966,135.982
Your Mum Loves Garage - Edit,6cNSt6NDmNBpaRvchm3D62,KURUPT FM,Your Mum Loves Garage (Edit),UK garage,0.772,0.877,9,-4.653,1,0.26,0.0319,0.0,0.356,0.828,132.065
Fly Bi - Original Mix,3WQcsshYWZUBjLK0ZjjxqD,"Teebone, Mc Kie, MC Sparks",Standard Procedure (Deluxe Edtion),UK garage,0.918,0.869,11,-6.12,0,0.369,0.00969,0.0,0.282,0.772,134.97
Fuck Me Pumps - MJ Cole Remix,1yclhzJfclEDk1gEpey3qE,"Amy Winehouse, Matthew Cole",Frank (Deluxe Edition),UK garage,0.856,0.918,2,-7.355,1,0.0669,0.0114,0.000922,0.202,0.768,132.068
Birthday (MJ Cole Remix),51lBIZQSbrUgV9DeTontGy,"Disclosure, Kehlani, Syd, MJ Cole",ENERGY (Deluxe),UK garage,0.747,0.655,8,-8.993,1,0.0458,0.344,0.0373,0.079,0.968,133.003
Smile,4a7kS09hxja6MzitjcANs9,"TS7, Tonia",Pure Bassline - Mixed by DJ Q & Jamie Duggan,UK garage,0.849,0.555,7,-7.06,0,0.0965,0.00985,0.0,0.0738,0.49,137.037
Over With You (Lickrish Mix),0AHrPjl3Ib70vw2VfMPMNs,Lickrish Music,Over With You,UK garage,0.672,0.489,2,-12.187,0,0.0777,0.013,0.00695,0.0459,0.944,132.987
Run to Me (Club Asylum Vocal) - Remix,7suoBBSRfE60HFswwZfDlc,Shola Ama,Upbeat Pop,UK garage,0.76,0.795,5,-7.257,0,0.0563,0.0338,0.169,0.328,0.965,137.792
My Desire - Dreem Team Remix,4wDuuEI9ecmWVVQVfHfrp3,AMIRA,My Desire (Remixes),UK garage,0.853,0.756,1,-8.581,1,0.082,0.118,0.761,0.032,0.931,126.978
Dance Your Cares Away,6BQDaDE3UDvYLPWQ7rH06b,Mis-Teeq,Mis-Teeq,UK garage,0.671,0.908,10,-3.137,1,0.0317,0.138,0.00041,0.0691,0.961,138.454
Boom Selection,4eFhMFTpX8PbWez316bG6H,Genius Cru,Boom Selection,UK garage,0.565,0.537,0,-8.331,1,0.149,0.02,4.32e-05,0.0596,0.949,88.167
Rush The DJ featuring Dynamite MC,17sNNd9fXUzNMr9NnrdjGA,"TNT, Dynamite MC",Tried N Tested,UK garage,0.824,0.863,1,-4.154,1,0.272,0.00375,0.0,0.0795,0.764,135.116
Mic Tribute Update - Vocal Mix,66KN5tx8oH3vRlnibZ7vLg,"Teebone, God's Gift",Standard Procedure (Deluxe Edtion),UK garage,0.883,0.598,11,-12.249,0,0.116,0.0137,5.67e-05,0.081,0.886,135.026
Golly Gosh,6tB7D8atKRv0lDxKh8SY3W,Sticky,UK Garage Beats V2,UK garage,0.777,0.796,1,-3.174,1,0.0951,4.98e-05,0.79,0.282,0.801,136.716
Sorry! (I Didn't Know) - Original Radio Edit,1Hcu2NeyCTqcvk2UByNzIR,Monsta Boy,Sorry,UK garage,0.755,0.631,11,-9.76,1,0.0422,0.0323,1.21e-06,0.0506,0.839,129.963
What Going On,2VrXykLzmEd5KFf5QfHe3L,Wookie,Wookie (Deluxe Edition),UK garage,0.754,0.765,9,-7.481,1,0.0794,0.00493,0.138,0.0924,0.695,130.065
Reach Out Now - London Mix,2uDMb0UCjv9y0b23S9ORKE,"Wideboys, Clare Evers",Reach Out Now,UK garage,0.78,0.814,11,-4.985,0,0.147,0.00142,0.433,0.331,0.893,135.002
Liferide,1xEt6w1KXUo5uTmnFhQiOS,"N 'n' G, Rose Windross, MC Creed",Pure House & Garage - Mixed by Majestic,UK garage,0.877,0.702,8,-7.718,0,0.0765,0.0059,0.0465,0.052,0.885,129.011
Masterblaster 2000 - Original Mix,0kvKNrIyDP9ScCw2Jo16bK,"DJ Luck & MC Neat, J.J",Masterblaster 2000,UK garage,0.881,0.454,1,-11.361,0,0.0757,0.138,0.000183,0.0356,0.858,133.99
Poision,03vwrapDLyriXEYpM1GJPj,"DJ Luck & MC Neat, Scott Garcia, Shy Cookie",Poision,UK garage,0.916,0.795,11,-10.401,0,0.243,0.0146,0.000281,0.299,0.746,127.884
Oi! - Original,7Ek4xs7XSPkvrJ7i07Jk7m,"Platinum 45, More Fire Crew",More Fire Crew CV,UK garage,0.874,0.633,1,-7.681,1,0.233,0.0122,0.0,0.048,0.913,134.991
Bootie Call - Club Asylum Boogie Punk Dub,3fPNYNLBgIl4SyWA0i1BuC,"All Saints, Club Asylum",The Remix Album,UK garage,0.781,0.832,1,-9.011,1,0.149,0.0115,0.272,0.222,0.92,128.232
Lady Marmalade - Mark!'s Wrecked Dub,4td1hsW8oVADah3FiUYAXg,All Saints,The Remix Album,UK garage,0.698,0.969,2,-4.721,1,0.0444,1.27e-05,0.826,0.236,0.452,129.23
True,24t6wkp0CWyDhuQDeOkfCy,"Jaimeson, Angel Blu",Think On Your Feet,UK garage,0.7,0.932,11,-4.66,1,0.0348,0.00291,0.0813,0.106,0.857,132.857
Quarter Past 9,27Tp4e5gHLGkz3sCPPFRlS,"Rascaal, Mmarga",Quarter Past 9,UK garage,0.86,0.805,6,-6.032,0,0.183,0.0516,0.0,0.0615,0.727,131.938
Wondering Why,1hEON5HHAv2GFuapRYuW8Y,"MJ Cole, Vula Malinga",Cut To The Chase,UK garage,0.78,0.63,2,-11.309,0,0.0835,0.334,0.0561,0.0902,0.963,133.949
Mad Man,5JtyzUazvTVIZWcGrTaTcD,"MJ Cole, Elephant Man",Cut To The Chase,UK garage,0.818,0.706,9,-10.723,1,0.122,0.00142,0.000427,0.044,0.439,132.064
Friendly Pressure - Into The Sunshine Edit,7vfIghWey3FItmcZXZy2fE,"Jhelisa, Sunship",Friendly Pressure (Sunship Remixes),UK garage,0.813,0.827,0,-5.338,0,0.169,0.0267,0.027,0.0213,0.98,126.86
Taboo (feat. Shola Ama) - MJ Cole Full Vocal Mix,4B5svMhrwXaCPl242LnYXN,"Glamma Kid, Shola Ama, MJ Cole",Bills 2 Pay,UK garage,0.855,0.791,6,-10.796,1,0.196,0.0814,0.00296,0.106,0.875,129.977
Freak Like Me - Dome's Peak Freak Remix,7jUhvpXow0mD27v77F6vC2,"Dub Conspiracy, Tru Faith, Dome",Freak Like Me,UK garage,0.815,0.615,9,-7.903,1,0.0529,0.00545,0.00245,0.0357,0.923,130.025
Bizzi's Party (Booker T Vocal Lick),1BN4vEm2nr9X8Wk963MqlE,"Bizzi, Booker-T",Bizzi's Party (Remixes),UK garage,0.898,0.852,10,-6.868,0,0.0807,0.0167,0.00169,0.0687,0.723,124.985
One Night Stand - Sunship Radio Edit,0O2ttEBHetHei5q9hrzzcd,"Mis-Teeq, Sunship",Lickin' On Both Sides,UK garage,0.853,0.86,2,-4.572,1,0.051,0.153,0.000855,0.0565,0.964,135.962
My Love (So Good) [10 Below Club Mix],3z84XGmcOS2V1cQSXe9IGZ,10 Below & Kele Le Roc,My Love,UK garage,0.697,0.81,3,-6.202,0,0.0378,0.0178,0.012,0.139,0.627,130.062
Girls Like Us,2kORFfHwy7w4a24WHrOb7b,"B15 Project, Crissy D, Lady G",Girls Like Us,UK garage,0.791,0.86,7,-5.386,0,0.036,0.141,0.355,0.205,0.973,130.039
Another Groove,6n4Omc2NCnUcNhmDXg56TG,"Another Level, Double 99",Freak Me: The Collection,UK garage,0.655,0.771,1,-8.063,1,0.046,0.00472,0.00772,0.0334,0.54,126.686
So Much in Love,1Q3uXxTEYzupOjVvoNZl74,Bad Boy Chiller Crew,Disrespectful,UK garage,0.76,0.957,11,-4.609,0,0.0696,0.0949,1.48e-06,0.0561,0.799,132.064
Bikes N Scoobys,7eehxk9pGcUnwvKpVoVbeg,Bad Boy Chiller Crew,Disrespectful,UK garage,0.795,0.892,0,-5.488,0,0.239,0.168,0.0,0.24,0.931,139.937
Glue,2aJDlirz6v2a4HREki98cP,BICEP,Bicep,UK garage,0.853,0.798,4,-7.995,0,0.068,0.0158,0.948,0.0967,0.42,129.983
Beg for You (feat. Rina Sawayama),50ZFpw2wS6ERvLmW8TINhq,"Charli xcx, Rina Sawayama",Beg For You (feat. Rina Sawayama),UK garage,0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036
Take Flight,6OZoq25EtgeeNCKMn6PJzy,"MJ Cole, LyricL",Cut To The Chase,UK garage,0.641,0.735,5,-11.69,1,0.769,0.134,0.0,0.332,0.808,92.495
N Love,7u8E7IlfYo6Bo6M8JAdTpe,"SHOSH, Kelsey",N Love,UK garage,0.736,0.833,1,-5.128,1,0.0405,0.00449,0.000536,0.177,0.707,131.948
Mixer - Preditah Remix,45unoeMLynJT6gKXRma5IO,"Amber Mark, Preditah",Mixer (Preditah Remix),UK garage,0.844,0.767,11,-9.105,1,0.0907,0.0706,0.487,0.147,0.841,125.018
Space Rider - MJ Cole Vocal Mix,17FKIehIe3xjlwOxlC1kWW,"Shaun Escoffery, MJ Cole",Oyster Music - The MJ Cole Mixes,UK garage,0.931,0.438,7,-7.807,0,0.0726,0.0718,0.0288,0.072,0.926,132.953
Opal - Four Tet Remix,3VtTuQ6lypMoOBcm6VMzdh,"BICEP, Four Tet",Opal (Four Tet Remix),UK garage,0.826,0.72,9,-9.582,0,0.119,0.103,0.773,0.11,0.287,127.011
Into you - Zed Bias Vocal Mix,7KL6CDb1RhjYOlZSdRvvME,Romina Johnson,UK Garage (Vol. 1),UK garage,0.758,0.501,11,-9.131,0,0.196,0.00556,0.388,0.0394,0.785,133.075
Lifey - Vocal Mix,6yJpOdDEaqluHYxkPNOsGO,"Club Asylum, Onyx Stone, Grace Fleary",Lifey,UK garage,0.716,0.861,0,-5.286,1,0.0616,0.00435,4.99e-05,0.324,0.545,130.011
Bad Like We,4Q2fjlpjIsCgWTEnqFd2u5,"Tigs, Peppery",Bad Like We,UK garage,0.728,0.909,9,-3.784,1,0.0473,0.00186,0.00122,0.244,0.782,135.001
Stone Cold,0pmWk0ydV1DiN1XGNMFlw8,groove chronicles,Stonecold / Hold On,UK garage,0.78,0.294,9,-15.571,0,0.0588,0.0132,0.835,0.0989,0.502,135.089
A London Thing - Extended Mix,1EO2wRH9Tj2e7SLLiNoALJ,"Scott Garcia, MC Styles",A London Thing,UK garage,0.897,0.868,9,-6.91,0,0.104,8.89e-05,0.712,0.0752,0.815,126.884
Where You Are (feat. WILLOW),4icnlpI5IbZcRO9mpixVVW,"PinkPantheress, WILLOW",Where you are (feat. WILLOW),UK garage,0.689,0.872,0,-4.786,1,0.0477,0.0965,0.000498,0.117,0.362,134.994
Boyz N Da Club,6JdPAzD9rtka9aF84WkQsY,Shermanology,Boyz N Da Club,UK garage,0.861,0.78,7,-5.994,1,0.0944,0.00205,0.464,0.0824,0.683,128.956
Melody - Original 98 Mix,3AVByQiYYgBOK9mQav7jzq,Masterstepz,Melody 2.0,UK garage,0.661,0.463,4,-6.626,0,0.103,0.0215,0.544,0.439,0.357,63.65
Eskimo - Vocal Version,7IuBKnOwbEGdw8p4IgAOAh,Roll Deep,Street Anthems,UK garage,0.913,0.725,6,-5.03,1,0.341,0.185,0.0,0.0759,0.884,136.038
words,0MjMYoSWmtVYAhv1Uj3zQO,"piri, Tommy Villiers, piri & tommy",words,UK garage,0.725,0.957,6,-4.699,0,0.0502,0.0599,0.00473,0.0869,0.678,134.026
Clint Eastwood - Ed Case / Sweetie Irie Refix,2ZdBKCs47s8LxMUPU499vc,"Gorillaz, Sweetie Irie",Gorillaz,UK garage,0.82,0.711,11,-4.802,1,0.0483,0.0155,0.000253,0.0758,0.905,131.908
You Got Me,6RfxvZC9U1ojEa23AkHBwu,MJ Cole,You Got Me,UK garage,0.658,0.713,9,-5.567,0,0.0298,0.0204,0.724,0.0987,0.0978,130.034
Game Day Ritual,4LWjiqxih81T0MwcNwZMUZ,OTEEZY,Game Day Ritual,UK garage,0.895,0.85,8,-7.163,1,0.0823,0.192,0.000411,0.0745,0.936,129.984
Straight From The Heart (Radio Edit),6VRptPvTqUbMomT6ebRnMd,Doolally,Straight from the Heart,UK garage,0.887,0.883,8,-5.253,0,0.0774,0.0251,0.00134,0.0299,0.981,132.259
Just Gets Better - Extended Dub,4yF939fEIyto1xOaxb6GmA,"TJR, Xavier",Just Gets Better,UK garage,0.775,0.911,6,-6.043,1,0.0682,0.000366,0.427,0.04,0.908,129.896
Ain't It Different (feat. AJ Tracey & Stormzy) - Conducta Remix,15rKTPi84iL42VG8ANdnr4,"Headie One, AJ Tracey, Conducta, Stormzy",Ain't It Different - Conducta Remix (feat. AJ Tracey & Stormzy),UK garage,0.738,0.964,11,-6.697,0,0.156,0.0472,0.00761,0.0748,0.837,139.145
Closer (Conducta Remix),1AVg6ejNMmIYeEVopCsKhm,"Yiigaa, Conducta",Closer (Conducta Remix),UK garage,0.815,0.823,11,-5.287,0,0.101,0.102,1.93e-05,0.147,0.733,134.004
Simmer (feat. Burna Boy) - Majestic Remix,5nRgXR4H9kn1QO1iCXoEYJ,"Mahalia, Burna Boy, Majestic",Simmer (The Remixes),UK garage,0.767,0.764,5,-5.501,0,0.0425,0.153,1.18e-05,0.142,0.555,124.951
